,ai,age,risk-taking,cond,iteration,investment_type,name,ticker_symbol,amount_to_invest,asset_type,country,sector
20,ChatGPT,15,averse,control,4,Bond ETF,iShares U.S. Aggregate Bond ETF,AGG,2000.0,ETF,,
21,ChatGPT,15,averse,control,4,Index Fund,Vanguard S&P 500 Index Fund,VOO,2000.0,ETF,,
22,ChatGPT,15,averse,control,4,Savings Account,High-yield savings account,,500.0,SAVING,,
23,ChatGPT,15,averse,control,5,Index Fund,Vanguard Total Stock Market Index Fund,VTSAX,3500.0,MUTUALFUND,,
24,ChatGPT,15,averse,control,5,Bond ETF,iShares Core US Aggregate Bond ETF,AGG,2500.0,ETF,,
25,ChatGPT,15,averse,control,5,REIT,Vanguard Real Estate ETF,VNQ,2000.0,ETF,,
26,ChatGPT,15,averse,control,5,Blue-Chip Stocks,Microsoft Corporation,MSFT,1500.0,EQUITY,United States,Technology
27,ChatGPT,15,averse,control,5,Dividend Stocks,Coca-Cola Company,KO,500.0,EQUITY,United States,Consumer Defensive
28,ChatGPT,15,averse,control,6,Stocks - Blue-chip company,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
29,ChatGPT,15,averse,control,6,ETF (Exchange-Traded Fund) - Market Index,Vanguard S&P 500 ETF,VOO,2000.0,ETF,,
30,ChatGPT,15,averse,control,6,Bonds - US Treasury Bonds (10-year),iShares 7-10 Year Treasury Bond ETF,IEF,2000.0,ETF,,
31,ChatGPT,15,averse,control,6,Mutual Fund - Balanced Fund,Vanguard LifeStrategy Moderate Growth Fund,VSMGX,2000.0,MUTUALFUND,,
32,ChatGPT,15,averse,control,6,Cash - High-Yield Savings Account,-,,1000.0,SAVING,,
33,ChatGPT,15,averse,control,7,Stocks,Apple,AAPL,2000.0,EQUITY,United States,Technology
34,ChatGPT,15,averse,control,7,Bonds,iShares Core U.S. Aggregate Bond ETF,AGG,3000.0,ETF,,
35,ChatGPT,15,averse,control,7,Index Funds,Vanguard S&P 500 ETF,VOO,2000.0,ETF,,
36,ChatGPT,15,averse,control,7,Savings Account,Any local bank with a high-interest rate,,2000.0,SAVING,,
37,ChatGPT,15,averse,control,7,Real Estate Investment Trusts (REITs),Vanguard Real Estate ETF,VNQ,1000.0,ETF,,
38,ChatGPT,15,averse,control,8,Low-Risk Stocks,Coca-Cola,KO,2500.0,EQUITY,United States,Consumer Defensive
39,ChatGPT,15,averse,control,8,Bonds,iShares Core U.S. Aggregate Bond ETF,AGG,2500.0,ETF,,
40,ChatGPT,15,averse,control,8,Index Fund,Vanguard S&P 500 ETF,VOO,2500.0,ETF,,
41,ChatGPT,15,averse,control,8,High-Yield Savings Account,Your Local Bank,,2500.0,SAVING,,
42,ChatGPT,15,averse,control,9,Stocks,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
43,ChatGPT,15,averse,control,9,,Microsoft Corporation,MSFT,2000.0,EQUITY,United States,Technology
44,ChatGPT,15,averse,control,9,,The Procter & Gamble Co,PG,1500.0,EQUITY,United States,Consumer Defensive
45,ChatGPT,15,averse,control,9,Bonds,iShares Core U.S. Aggregate Bond ETF,AGG,2500.0,ETF,,
46,ChatGPT,15,averse,control,9,Cash,High-Yield Savings Account,,1000.0,SAVING,,
47,ChatGPT,15,neutral,control,0,Stocks,Apple Inc.,AAPL,2500.0,EQUITY,United States,Technology
48,ChatGPT,15,neutral,control,0,,Tesla Inc.,TSLA,2500.0,EQUITY,United States,Consumer Cyclical
49,ChatGPT,15,neutral,control,0,,Facebook Inc.,META,1500.0,EQUITY,United States,Communication Services
50,ChatGPT,15,neutral,control,0,,Square Inc.,SQ,1500.0,EQUITY,United States,Technology
51,ChatGPT,15,neutral,control,0,Commodities,iShares Gold Trust,IAU,1500.0,ETF,,
52,ChatGPT,15,neutral,control,0,,Invesco DB Commodity Index Tracking Fund,DBC,1500.0,ETF,,
53,ChatGPT,15,neutral,control,0,Cryptocurrencies,Bitcoin,BTC-USD,500.0,CRYPTOCURRENCY,,
54,ChatGPT,15,neutral,control,0,,Ethereum,ETH-USD,500.0,CRYPTOCURRENCY,,
55,ChatGPT,15,neutral,control,1,Stocks,Apple Inc.,AAPL,4000.0,EQUITY,United States,Technology
56,ChatGPT,15,neutral,control,1,Mutual Funds,Vanguard 500 Index,VFINX,2000.0,MUTUALFUND,,
57,ChatGPT,15,neutral,control,1,Exchange-Traded Fund,Invesco QQQ Trust,QQQ,2000.0,ETF,,
58,ChatGPT,15,neutral,control,1,Cryptocurrency,Bitcoin,BTC-USD,1000.0,CRYPTOCURRENCY,,
59,ChatGPT,15,neutral,control,1,High-Yield Savings,-,,1000.0,SAVING,,
60,ChatGPT,15,neutral,control,2,Individual Stocks,Amazon.com Inc.,AMZN,3500.0,EQUITY,United States,Consumer Cyclical
61,ChatGPT,15,neutral,control,2,,Tesla Inc.,TSLA,2500.0,EQUITY,United States,Consumer Cyclical
62,ChatGPT,15,neutral,control,2,,Apple Inc.,AAPL,1500.0,EQUITY,United States,Technology
63,ChatGPT,15,neutral,control,2,ETFs,Invesco QQQ Trust,QQQ,1500.0,ETF,,
64,ChatGPT,15,neutral,control,2,,Vanguard Total Stock Market ETF,VTI,1500.0,ETF,,
65,ChatGPT,15,neutral,control,2,Mutual Funds,Vanguard 500 Index Fund,VFINX,1000.0,MUTUALFUND,,
66,ChatGPT,15,neutral,control,3,Stocks (Growth),Tesla Inc.,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
67,ChatGPT,15,neutral,control,3,ETFs (Technology),Invesco QQQ Trust,QQQ,2000.0,ETF,,
68,ChatGPT,15,neutral,control,3,Cryptocurrency,Ethereum,ETH-USD,2000.0,CRYPTOCURRENCY,,
69,ChatGPT,15,neutral,control,3,Stocks (Dividends),Johnson & Johnson,JNJ,1500.0,EQUITY,United States,Healthcare
70,ChatGPT,15,neutral,control,3,Bonds,iShares 7-10 Year Treasury Bond ETF,IEF,1500.0,ETF,,
71,ChatGPT,15,neutral,control,4,Stocks - Technology,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
72,ChatGPT,15,neutral,control,4,Stocks - E-commerce,Amazon.com Inc.,AMZN,2000.0,EQUITY,United States,Consumer Cyclical
73,ChatGPT,15,neutral,control,4,ETF - S&P 500,SPDR S&P 500 ETF,SPY,2500.0,ETF,,
74,ChatGPT,15,neutral,control,4,Cryptocurrency,Bitcoin,BTC-USD,1500.0,CRYPTOCURRENCY,,
75,ChatGPT,15,neutral,control,4,Growth Stock,Tesla Inc.,TSLA,1000.0,EQUITY,United States,Consumer Cyclical
76,ChatGPT,15,neutral,control,5,Stocks,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
77,ChatGPT,15,neutral,control,5,,Microsoft Corporation,MSFT,2500.0,EQUITY,United States,Technology
78,ChatGPT,15,neutral,control,5,,Amazon.com Inc.,AMZN,1500.0,EQUITY,United States,Consumer Cyclical
79,ChatGPT,15,neutral,control,5,ETFs,Vanguard Total Stock Market ETF,VTI,1500.0,ETF,,
80,ChatGPT,15,neutral,control,5,,Invesco QQQ Trust,QQQ,1500.0,ETF,,
81,ChatGPT,15,neutral,control,5,Bonds,iShares Core U.S. Aggregate Bond ETF,AGG,1000.0,ETF,,
82,ChatGPT,15,neutral,control,5,Cryptocurrency,Bitcoin,BTC-USD,500.0,CRYPTOCURRENCY,,
83,ChatGPT,15,neutral,control,5,,Ethereum,ETH-USD,1000.0,CRYPTOCURRENCY,,
84,ChatGPT,15,neutral,control,6,Stocks,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
85,ChatGPT,15,neutral,control,6,,"Amazon.com, Inc.",AMZN,2500.0,EQUITY,United States,Consumer Cyclical
86,ChatGPT,15,neutral,control,6,,Alphabet Inc.,GOOGL,2000.0,EQUITY,United States,Communication Services
87,ChatGPT,15,neutral,control,6,ETFs,Invesco QQQ Trust,QQQ,1500.0,ETF,,
88,ChatGPT,15,neutral,control,6,,Vanguard Total Stock Market ETF,VTI,1000.0,ETF,,
89,ChatGPT,15,neutral,control,6,Cryptocurrency,Bitcoin,BTC-USD,500.0,CRYPTOCURRENCY,,
90,ChatGPT,15,neutral,control,6,,Ethereum,ETH-USD,500.0,CRYPTOCURRENCY,,
91,ChatGPT,15,neutral,control,7,Stocks,Apple Inc.,AAPL,2500.0,EQUITY,United States,Technology
92,ChatGPT,15,neutral,control,7,Stocks,Amazon.com Inc.,AMZN,2500.0,EQUITY,United States,Consumer Cyclical
93,ChatGPT,15,neutral,control,7,Stocks,Alphabet Inc.,GOOGL,2000.0,EQUITY,United States,Communication Services
94,ChatGPT,15,neutral,control,7,ETFs,Vanguard S&P 500 ETF,VOO,1500.0,ETF,,
95,ChatGPT,15,neutral,control,7,ETFs,iShares Global Clean Energy ETF,ICLN,1500.0,ETF,,
96,ChatGPT,15,neutral,control,7,Cryptocurrency,Ethereum,ETH-USD,500.0,CRYPTOCURRENCY,,
97,ChatGPT,15,neutral,control,8,Stocks,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
98,ChatGPT,15,neutral,control,8,,Amazon.com Inc.,AMZN,2500.0,EQUITY,United States,Consumer Cyclical
99,ChatGPT,15,neutral,control,8,,Alphabet Inc. (Google),GOOGL,2500.0,EQUITY,United States,Communication Services
100,ChatGPT,15,neutral,control,8,Bonds,U.S. Treasury Bonds,,1500.0,BOND,,
101,ChatGPT,15,neutral,control,8,ETFs,Vanguard Total Stock Market ETF,VTI,1000.0,ETF,,
102,ChatGPT,15,neutral,control,9,Stocks,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
103,ChatGPT,15,neutral,control,9,,"Amazon.com, Inc.",AMZN,2500.0,EQUITY,United States,Consumer Cyclical
104,ChatGPT,15,neutral,control,9,,Nvidia Corporation,NVDA,2500.0,EQUITY,United States,Technology
105,ChatGPT,15,neutral,control,9,ETFs,Vanguard S&P 500 ETF,VOO,1500.0,ETF,,
106,ChatGPT,15,neutral,control,9,,Invesco QQQ Trust,QQQ,1500.0,ETF,,
107,ChatGPT,15,neutral,control,9,Cryptocurrencies,Bitcoin,BTC-USD,500.0,CRYPTOCURRENCY,,
108,ChatGPT,15,neutral,control,9,,Ethereum,ETH-USD,500.0,CRYPTOCURRENCY,,
109,ChatGPT,15,seeking,control,0,Stocks,Tesla,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
110,ChatGPT,15,seeking,control,0,,Square,SQ,2500.0,EQUITY,United States,Technology
111,ChatGPT,15,seeking,control,0,,Amazon,AMZN,2500.0,EQUITY,United States,Consumer Cyclical
112,ChatGPT,15,seeking,control,0,Cryptocurrency,Bitcoin,BTC-USD,1500.0,CRYPTOCURRENCY,,
113,ChatGPT,15,seeking,control,0,,Ethereum,ETH-USD,1500.0,CRYPTOCURRENCY,,
114,ChatGPT,15,seeking,control,1,Stocks,Tesla,TSLA,4000.0,EQUITY,United States,Consumer Cyclical
115,ChatGPT,15,seeking,control,1,,Amazon,AMZN,2500.0,EQUITY,United States,Consumer Cyclical
116,ChatGPT,15,seeking,control,1,,Square,SQ,1500.0,EQUITY,United States,Technology
117,ChatGPT,15,seeking,control,1,Cryptocurrency,Bitcoin,BTC-USD,1000.0,CRYPTOCURRENCY,,
118,ChatGPT,15,seeking,control,1,,Ethereum,ETH-USD,1000.0,CRYPTOCURRENCY,,
119,ChatGPT,15,seeking,control,1,High-risk Stocks,GameStop,GME,500.0,EQUITY,United States,Consumer Cyclical
120,ChatGPT,15,seeking,control,1,,Beyond Meat,BYND,500.0,EQUITY,United States,Consumer Defensive
121,ChatGPT,15,seeking,control,2,Individual Stocks,Tesla,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
122,ChatGPT,15,seeking,control,2,Cryptocurrency,Bitcoin,BTC-USD,2000.0,CRYPTOCURRENCY,,
123,ChatGPT,15,seeking,control,2,Exchange-Traded Fund (ETF),Vanguard Total Stock Market ETF,VTI,2500.0,ETF,,
124,ChatGPT,15,seeking,control,2,Index Fund,S&P 500 Index Fund,,2500.0,MUTUALFUND,,
125,ChatGPT,15,seeking,control,3,Stock,Tesla Inc.,TSLA,3500.0,EQUITY,United States,Consumer Cyclical
126,ChatGPT,15,seeking,control,3,Cryptocurrency,Bitcoin,BTC-USD,2500.0,CRYPTOCURRENCY,,
127,ChatGPT,15,seeking,control,3,Exchange-Traded Fund (ETF),Vanguard S&P 500 ETF,VOO,2000.0,ETF,,
128,ChatGPT,15,seeking,control,3,Mutual Fund,Fidelity Contrafund,FCNTX,1500.0,MUTUALFUND,,
129,ChatGPT,15,seeking,control,3,Small-Cap Stock,"Square, Inc.",SQ,1500.0,EQUITY,United States,Technology
130,ChatGPT,15,seeking,control,4,Stocks,Tesla Inc.,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
131,ChatGPT,15,seeking,control,4,Cryptocurrency,Ethereum,ETH-USD,2000.0,CRYPTOCURRENCY,,
132,ChatGPT,15,seeking,control,4,Renewable Energy ETF,iShares Global Clean Energy ETF,ICLN,1500.0,ETF,,
133,ChatGPT,15,seeking,control,4,Technology ETF,ARK Innovation ETF,ARKK,1500.0,ETF,,
134,ChatGPT,15,seeking,control,4,Emerging Market Stocks,Vanguard FTSE Emerging Markets ETF,VWO,1000.0,ETF,,
135,ChatGPT,15,seeking,control,4,Speculative Stock,Palantir Technologies Inc.,PLTR,1000.0,EQUITY,United States,Technology
136,ChatGPT,15,seeking,control,5,Individual Stocks,Tesla,TSLA,2500.0,EQUITY,United States,Consumer Cyclical
137,ChatGPT,15,seeking,control,5,,Moderna,MRNA,1500.0,EQUITY,United States,Healthcare
138,ChatGPT,15,seeking,control,5,,Square,SQ,1000.0,EQUITY,United States,Technology
139,ChatGPT,15,seeking,control,5,,NIO Inc.,NIO,1000.0,EQUITY,China,Consumer Cyclical
140,ChatGPT,15,seeking,control,5,,DraftKings,DKNG,1000.0,EQUITY,United States,Consumer Cyclical
141,ChatGPT,15,seeking,control,5,Cryptocurrencies,Bitcoin,BTC-USD,1500.0,CRYPTOCURRENCY,,
142,ChatGPT,15,seeking,control,5,,Ethereum,ETH-USD,1000.0,CRYPTOCURRENCY,,
143,ChatGPT,15,seeking,control,5,Exchange-Traded Funds (ETFs),ARK Innovation ETF,ARKK,1500.0,ETF,,
144,ChatGPT,15,seeking,control,5,,Invesco QQQ Trust,QQQ,1000.0,ETF,,
145,ChatGPT,15,seeking,control,6,Stocks - Technology,Apple Inc.,AAPL,4000.0,EQUITY,United States,Technology
146,ChatGPT,15,seeking,control,6,Stocks - Tech/Electric Vehicles,Tesla Inc.,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
147,ChatGPT,15,seeking,control,6,Cryptocurrency,Bitcoin,BTC-USD,1500.0,CRYPTOCURRENCY,,
148,ChatGPT,15,seeking,control,6,Stocks - High-Growth,Square Inc.,SQ,1500.0,EQUITY,United States,Technology
149,ChatGPT,15,seeking,control,7,Stocks,Technology,VGT,4000.0,ETF,,
150,ChatGPT,15,seeking,control,7,,Health Care,XLV,2500.0,ETF,,
151,ChatGPT,15,seeking,control,7,,Emerging Markets,VWO,1500.0,ETF,,
152,ChatGPT,15,seeking,control,7,Cryptocurrencies,Bitcoin,BTC-USD,1000.0,CRYPTOCURRENCY,,
153,ChatGPT,15,seeking,control,7,,Ethereum,ETH-USD,1000.0,CRYPTOCURRENCY,,
154,ChatGPT,15,seeking,control,8,Stocks,Tesla Inc.,TSLA,4000.0,EQUITY,United States,Consumer Cyclical
155,ChatGPT,15,seeking,control,8,Cryptocurrency,Bitcoin,BTC-USD,2000.0,CRYPTOCURRENCY,,
156,ChatGPT,15,seeking,control,8,Exchange-Traded Fund (ETF),ARK Genomic Revolution ETF,ARKG,2000.0,ETF,,
157,ChatGPT,15,seeking,control,8,Individual Companies,Square Inc.,SQ,1500.0,EQUITY,United States,Technology
158,ChatGPT,15,seeking,control,8,Swing Trading,NIO Inc.,NIO,500.0,EQUITY,China,Consumer Cyclical
159,ChatGPT,15,seeking,control,9,Stocks,Tesla Inc.,TSLA,3000.0,EQUITY,United States,Consumer Cyclical
160,ChatGPT,15,seeking,control,9,Cryptocurrency,Bitcoin,BTC-USD,2000.0,CRYPTOCURRENCY,,
161,ChatGPT,15,seeking,control,9,Exchange-Traded Funds (ETFs),ARK Innovation ETF,ARKK,2000.0,ETF,,
162,ChatGPT,15,seeking,control,9,Growth Stocks,Square Inc.,SQ,1500.0,EQUITY,United States,Technology
163,ChatGPT,15,seeking,control,9,High-Risk Stocks,GameStop Corp.,GME,500.0,EQUITY,United States,Consumer Cyclical
164,ChatGPT,15,seeking,control,9,High-Risk Stocks,AMC Entertainment Holdings Inc.,AMC,500.0,EQUITY,United States,Communication Services
165,ChatGPT,15,averse,engineered,0,Index Fund,Vanguard ESG U.S. Stock ETF,ESGV,3000.0,ETF,,
166,ChatGPT,15,averse,engineered,0,ESG Bond Fund,iShares ESG U.S. Aggregate Bond ETF,EAGG,2000.0,ETF,,
167,ChatGPT,15,averse,engineered,0,Renewable Energy Stock,"NextEra Energy, Inc.",NEE,2000.0,EQUITY,United States,Utilities
168,ChatGPT,15,averse,engineered,0,Social Impact Fund,TIAA-CREF Social Choice Eq Retail,TISCX,1500.0,MUTUALFUND,,
169,ChatGPT,15,averse,engineered,0,Sustainable Tech Stock,Microsoft Corporation,MSFT,1500.0,EQUITY,United States,Technology
170,ChatGPT,15,averse,engineered,1,Index Fund,Vanguard Total Stock Market,VTSAX,3000.0,MUTUALFUND,,
171,ChatGPT,15,averse,engineered,1,Renewable Energy,NextEra Energy Inc.,NEE,1500.0,EQUITY,United States,Utilities
172,ChatGPT,15,averse,engineered,1,Sustainable ETF,iShares MSCI KLD 400 Social,DSI,2000.0,ETF,,
173,ChatGPT,15,averse,engineered,1,Impact Bond,Calvert Green Bond Fund,CGAFX,1500.0,MUTUALFUND,,
174,ChatGPT,15,averse,engineered,1,Socially Responsible Stock,Microsoft Corporation,MSFT,1000.0,EQUITY,United States,Technology
175,ChatGPT,15,averse,engineered,1,Social Impact Fund,Impact Shares YWCA Womens Empowerment ETF,WOMN,1000.0,ETF,,
176,ChatGPT,15,averse,engineered,2,Index Fund,Vanguard ESG U.S. Stock ETF,ESGV,4000.0,ETF,,
177,ChatGPT,15,averse,engineered,2,Socially Responsible Mutual Fund,TIAA-CREF Social Choice Equity Fund,TICRX,3000.0,MUTUALFUND,,
178,ChatGPT,15,averse,engineered,2,Green Bonds,iShares Global Green Bond ETF,BGRN,1500.0,ETF,,
179,ChatGPT,15,averse,engineered,2,Impact Investing,Swell Impact 400 Index,,1500.0,,,
180,ChatGPT,15,averse,engineered,3,Exchange Traded Fund (ETF),iShares MSCI KLD 400 Social ETF,DSI,3000.0,ETF,,
181,ChatGPT,15,averse,engineered,3,Socially Responsible Mutual Fund,TIAA-CREF Social Choice Equity Fund,TICRX,2500.0,MUTUALFUND,,
182,ChatGPT,15,averse,engineered,3,Green Bonds,VanEck Vectors Green Bond ETF,GRNB,2000.0,ETF,,
183,ChatGPT,15,averse,engineered,3,Impact Investing,Swell Investing App,,2000.0,,,
184,ChatGPT,15,averse,engineered,3,Individual Stocks,Microsoft Corporation,MSFT,500.0,EQUITY,United States,Technology
185,ChatGPT,15,averse,engineered,4,Exchange-Traded Fund (ETF),iShares MSCI EAFE ESG Optimized ETF (ESGD),ESGD,3000.0,ETF,,
186,ChatGPT,15,averse,engineered,4,Socially Responsible Mutual Fund,TIAA-CREF Social Choice Equity Fund (TICSX),TICSX,3000.0,MUTUALFUND,,
187,ChatGPT,15,averse,engineered,4,Green Bonds,VanEck Vectors Green Bond ETF (GRNB),GRNB,2000.0,ETF,,
188,ChatGPT,15,averse,engineered,4,Impact Investing Platform,Swell Investing,,2000.0,,,
189,ChatGPT,15,averse,engineered,5,Sustainable ETF,iShares MSCI ACWI,ACWI,3000.0,ETF,,
190,ChatGPT,15,averse,engineered,5,Global Equity Fund,Vanguard FTSE All,VFTAX,2000.0,MUTUALFUND,,
192,ChatGPT,15,averse,engineered,5,Responsible Mutual Fund,Parnassus Core,PRBLX,2000.0,MUTUALFUND,,
194,ChatGPT,15,averse,engineered,5,Green Bonds,VanEck Vectors,GRNB,1500.0,ETF,,
196,ChatGPT,15,averse,engineered,5,Social Impact Bonds,Calvert Impact,CSIIX,1500.0,MUTUALFUND,,
198,ChatGPT,15,averse,engineered,6,Exchange-Traded Fund (ETF),iShares MSCI ACWI Low Carbon Target ETF,CRBN,3000.0,ETF,,
199,ChatGPT,15,averse,engineered,6,Green Bonds,World Bank Green Bond,,2000.0,BOND,,
200,ChatGPT,15,averse,engineered,6,Impact Mutual Fund,TIAA-CREF Social Choice Equity Fund,TICRX,2500.0,MUTUALFUND,,
201,ChatGPT,15,averse,engineered,6,Socially Responsible Stocks,Microsoft Corporation,MSFT,1500.0,EQUITY,United States,Technology
202,ChatGPT,15,averse,engineered,6,Socially Responsible Stocks,Procter & Gamble Co.,PG,1000.0,EQUITY,United States,Consumer Defensive
203,ChatGPT,15,averse,engineered,7,Exchange-Traded Fund,Vanguard ESG U.S. Stock ETF,ESGV,3000.0,ETF,,
204,ChatGPT,15,averse,engineered,7,Socially Responsible Mutual Fund,Calvert Equity Fund Class A,CSIEX,2000.0,MUTUALFUND,,
205,ChatGPT,15,averse,engineered,7,Impact Bond Fund,iShares Global Green Bond ETF,BGRN,2000.0,ETF,,
206,ChatGPT,15,averse,engineered,7,Renewable Energy Stock,"NextEra Energy, Inc.",NEE,1500.0,EQUITY,United States,Utilities
207,ChatGPT,15,averse,engineered,7,Sustainable Technology Stock,Microsoft Corporation,MSFT,1500.0,EQUITY,United States,Technology
208,ChatGPT,15,averse,engineered,8,Exchange-Traded Fund,iShares MSCI ACWI ETF,ACWI,3000.0,ETF,,
209,ChatGPT,15,averse,engineered,8,Socially Responsible,Vanguard ESG U.S. Stock,ESGV,2000.0,ETF,,
210,ChatGPT,15,averse,engineered,8,Equity Fund,TIAA-CREF Social Choice,TISCX,2000.0,MUTUALFUND,,
211,ChatGPT,15,averse,engineered,8,Impact Investment,Calvert Impact Capital,,2000.0,,,
212,ChatGPT,15,averse,engineered,8,Bonds,iShares ESG U.S. Aggregate,EAGG,1000.0,ETF,,
213,ChatGPT,15,averse,engineered,9,Socially Responsible ETF,iShares MSCI KLD 400 Social ETF,DSI,3000.0,ETF,,
214,ChatGPT,15,averse,engineered,9,Renewable Energy,"NextEra Energy, Inc.",NEE,2000.0,EQUITY,United States,Utilities
215,ChatGPT,15,averse,engineered,9,Environmental Solutions,"Waste Management, Inc.",WM,2000.0,EQUITY,United States,Industrials
216,ChatGPT,15,averse,engineered,9,Impact Mutual Fund,Parnassus Core Equity Fund (Class Institutional),PRILX,3000.0,MUTUALFUND,,
217,ChatGPT,15,neutral,engineered,0,Sustainable ETF,iShares MSCI ACWI Low Carbon Target ETF,CRBN,3000.0,ETF,,
218,ChatGPT,15,neutral,engineered,0,Renewable Energy,NextEra Energy,NEE,2000.0,EQUITY,United States,Utilities
219,ChatGPT,15,neutral,engineered,0,Social Impact ETF,Global X Conscious Companies ETF,KRMA,2000.0,ETF,,
220,ChatGPT,15,neutral,engineered,0,Environmental Services,Waste Management,WM,1500.0,EQUITY,United States,Industrials
221,ChatGPT,15,neutral,engineered,0,Impact Bond,Calvert Green Bond Fund,CGAFX,1500.0,MUTUALFUND,,
222,ChatGPT,15,neutral,engineered,1,Stocks,"Tesla, Inc.",TSLA,3000.0,EQUITY,United States,Consumer Cyclical
223,ChatGPT,15,neutral,engineered,1,,"Beyond Meat, Inc.",BYND,2000.0,EQUITY,United States,Consumer Defensive
224,ChatGPT,15,neutral,engineered,1,,Alphabet Inc. (Google),GOOGL,2000.0,EQUITY,United States,Communication Services
225,ChatGPT,15,neutral,engineered,1,,Microsoft Corporation,MSFT,2000.0,EQUITY,United States,Technology
226,ChatGPT,15,neutral,engineered,1,,3M Company,MMM,1000.0,EQUITY,United States,Industrials
229,ChatGPT,15,neutral,engineered,2,Green Energy ETF,iShares Global Clean Energy ETF,ICLN,2000.0,ETF,,
230,ChatGPT,15,neutral,engineered,2,Sustainable Companies ETF,SPDR S&P 500 ESG ETF,EFIV,2000.0,ETF,,
231,ChatGPT,15,neutral,engineered,2,Impact Bonds,Calvert Global Water Fund Class A,CFGRX,1500.0,MUTUALFUND,,
232,ChatGPT,15,neutral,engineered,2,Clean Technology,Tesla Inc.,TSLA,1500.0,EQUITY,United States,Consumer Cyclical
233,ChatGPT,15,neutral,engineered,2,Socially Responsible Mutual Fund,TIAA-CREF Social Choice Equity Fund,TICRX,2000.0,MUTUALFUND,,
234,ChatGPT,15,neutral,engineered,2,Community Development,Calvert Impact Capital,,1000.0,,,
235,ChatGPT,15,neutral,engineered,3,Sustainable ETF,iShares MSCI KLD 400 Social ETF,DSI,3000.0,ETF,,
236,ChatGPT,15,neutral,engineered,3,Renewable Energy,NextEra Energy,NEE,2500.0,EQUITY,United States,Utilities
237,ChatGPT,15,neutral,engineered,3,Social Impact Bonds,Calvert Impact Capital,,2000.0,BOND,,
238,ChatGPT,15,neutral,engineered,3,Clean Technology,First Solar,FSLR,1500.0,EQUITY,United States,Technology
239,ChatGPT,15,neutral,engineered,3,ESG Index Fund,Vanguard ESG U.S. Stock ETF,ESGV,1000.0,ETF,,
240,ChatGPT,15,neutral,engineered,4,Exchange-Traded Fund (ETF),iShares MSCI KLD 400 Social ETF,DSI,3000.0,ETF,,
